f(x) = -2*sqrt(abs(x))+1
[a; b] =[-10.000000; 10.000000]
Step: h = 1.000000

   x    |  f(x)
--------|--------
-10.000 | -5.325
 -9.000 | -5.000
 -8.000 | -4.657
 -7.000 | -4.292
 -6.000 | -3.899
 -5.000 | -3.472
 -4.000 | -3.000
 -3.000 | -2.464
 -2.000 | -1.828
 -1.000 | -1.000
  0.000 |  1.000
  1.000 | -1.000
  2.000 | -1.828
  3.000 | -2.464
  4.000 | -3.000
  5.000 | -3.472
  6.000 | -3.899
  7.000 | -4.292
  8.000 | -4.657
  9.000 | -5.000
 10.000 | -5.325
