Pb_волосы 	Pb_воды
0.90		0.01
0.656		0.011
5.170		0.042
3.283		0.032
2.846		0.013
3.480		0.014
3.770		0.015
2.130		0.053
0.185		0.015
0.583		0.018
1.917		0.012
0.122		0.019
7.220		0.033
3.8		0.015
2.33		0.021
15.00		0.017
11.3		0.013
6.43		0.023
5.330		0.014
4.200		0.016
1.740		0.012
8.3		0.016
0.890		0.018
4.55		0.013
0.050		0.013
6.67		0.012
3.22		0.011
12.3		0.02
0.8		0.01
